id,x,y,r,b
1,2310.0,2779.5,5.27751030705594,201.8269230769231
2,1656.5,2216.5,4.424483924742312,201.58666666666667
3,2840.0,3231.0,6.050259243299904,190.12030075187968
4,1868.5,2024.0,4.54864184146723,189.62025316455697
5,2224.5,2275.0,4.652426491681278,188.41463414634146
6,2139.0,2507.5,3.634537147509613,181.9056603773585
7,1182.5,1903.0,2.676186174229157,181.38709677419354
8,1303.5,3541.0,5.30758183425046,181.1153846153846
9,1403.5,1789.5,2.876813695875796,176.62857142857143
10,1499.5,1377.0,3.826519928662906,172.63793103448276
11,865.5,1627.5,3.431831258788849,171.52083333333331
12,2431.0,1657.0,3.523362819972964,168.86
13,1326.0,1044.5,4.029119531035698,167.8095238095238
14,321.0,3280.5,5.30758183425046,167.34285714285716
15,2439.5,3026.0,6.944346460023743,167.29378531073445
16,1911.0,3363.0,2.876813695875796,160.0857142857143
17,1422.0,2584.0,2.2917489221187703,157.66666666666666
18,2123.0,1213.5,3.2654833007009834,155.29545454545456
19,2221.0,1185.0,3.888408362521876,155.24590163934428
20,1393.0,3734.0,2.985410660720923,153.5
21,1385.5,1015.5,2.9043436408025913,151.11111111111111
22,1528.0,2871.5,2.072964896828013,145.15
23,1907.5,382.5,4.61809077155419,144.56626506024097
24,2484.5,2051.0,2.7057581899030048,143.71875
25,1233.0,3421.0,1.7841241161527712,139.125
26,968.0,2024.0,1.828183197857863,138.8235294117647
27,868.5,1836.5,1.913259964331453,135.0
28,1725.5,1840.5,1.8712051592547776,134.7058823529412
29,1486.0,700.5,2.676186174229157,132.0
30,920.0,2059.5,2.1850968611841584,130.7391304347826
31,1561.5,1574.5,1.8712051592547776,130.58823529411765
32,2809.0,1100.0,2.4592453796829674,129.55555555555554
33,1504.0,1404.5,2.2917489221187703,126.20833333333333
34,3000.0,164.5,5.484549593573589,117.79464285714285
35,421.5,840.0,1.9947114020071635,116.1578947368421
36,2708.5,3635.0,1.8712051592547776,114.88235294117646
37,165.5,1399.0,2.072964896828013,114.57142857142857
38,1071.0,611.0,1.7841241161527712,104.875
39,779.0,1097.5,2.0342144725641096,101.05000000000001
40,2582.0,839.5,3.5682482323055424,98.01960784313725
41,1806.5,513.0,4.009320298040732,95.01538461538462
42,2594.0,100.0,4.902284814948658,84.6923076923077
43,2470.0,1001.0,3.3138634663094946,84.57777777777778
44,2344.0,770.0,4.029119531035698,84.07692307692308
45,2791.5,856.5,2.763953195770684,71.65714285714286
46,1606.0,268.5,2.0342144725641096,59.550000000000004
47,2643.0,558.0,1.9544100476116797,54.315789473684205
48,2945.0,693.5,2.360174359706574,48.535714285714285
49,121.5,179.0,1.913259964331453,46.78947368421052
50,1751.0,56.0,1.828183197857863,45.27777777777778
51,2615.5,214.0,2.849017742606504,44.31428571428571
52,2619.0,105.0,2.111004122822376,43.909090909090914
53,2583.5,155.5,1.9947114020071635,40.04545454545455
54,2592.0,149.5,2.5231325220201604,37.241379310344826
