id,x,y,r,b
1,2093.0,77.0,7.214129635032196,142.91489361702128
2,2079.5,74.5,8.767658610677394,130.61052631578949
3,753.5,1166.5,7.091753098990329,120.01675977653632
4,1573.0,631.0,14.953684998825974,112.53907284768212
5,1434.5,984.5,7.247146419131151,108.87096774193549
6,1211.5,808.0,7.7665773305767285,103.74056603773585
7,997.5,453.5,8.205031439785696,96.30084745762711
8,1672.0,666.0,8.320600954556976,95.70661157024794
9,801.5,1233.5,9.13220620552083,90.56013745704468
10,1171.0,572.5,8.82194803724987,90.39852398523985
11,301.0,1066.0,10.47175991848151,83.74933333333333
12,890.0,558.5,9.957586532199999,81.75852272727273
13,1262.5,913.5,14.002817212590296,77.98947368421054
14,1154.0,42.5,9.82078894558317,74.75075075075075
15,1757.5,1194.0,9.82078894558317,74.11746987951808
16,1262.0,271.0,9.788323438736636,74.03636363636363
17,804.0,140.0,12.859315140102884,65.4517857142857
18,1109.5,57.5,9.557977680176279,62.926984126984124
19,1132.5,684.5,10.54747861914092,60.97905759162304
20,488.5,273.0,10.37249929043725,60.68834688346883
21,124.5,220.0,9.465951244367208,57.85436893203884
22,1539.0,111.5,10.280023453913834,57.50552486187845
23,1208.5,835.5,9.09728368293446,54.29965156794425
24,649.0,404.0,10.793582275744573,53.84422110552764
25,1028.5,1077.5,10.076748170547344,53.475644699140396
26,1951.0,1178.5,1.7841241161527712,52.875
27,1059.0,1158.0,1.4927053303604616,52.83333333333333
28,1994.5,1190.5,11.070199012698888,52.381294964028775
29,1983.0,335.0,1.4927053303604616,51.666666666666664
30,844.5,869.0,12.939513133525306,51.640350877192986
31,759.0,342.0,10.585134856802455,51.284595300261095
32,1290.0,461.0,10.585134856802455,51.10704960835509
33,547.0,475.5,10.49453289192004,50.94960212201591
34,1572.0,83.0,11.65840132267193,50.308026030368765
35,1619.0,875.0,1.4927053303604616,50.25
36,1403.5,80.5,2.111004122822376,50.19047619047619
37,394.5,242.5,2.111004122822376,49.42857142857142
