id,x,y,r,b
1,2591.8454199441453,99.8476742962474,26.004282298363677,2124.416259765625
2,3000.6918216960808,164.90620599882223,44.93426940387209,6343.15380859375
3,1907.6807105924663,379.9272852315542,48.34369916161695,7342.2578125
4,1808.4615917878934,511.5214279429311,21.847182418569563,1499.480224609375
5,1070.4955595137149,610.5155055185205,12.053022756609204,456.39599609375
6,1486.063244393186,699.8036840790257,25.41867341997563,2029.8111572265625
7,421.18410888942856,839.833505611437,17.125400784743977,921.3642578125
8,2582.2157060460986,839.6318723394014,19.053555616403834,1140.5174560546875
9,1384.637439759371,1015.5476330823884,28.38646052484265,2531.467529296875
10,1325.4009297078942,1044.038013789273,41.17105897154415,5325.17578125
11,2808.4502238206437,1099.599608453781,24.599139467028635,1901.033203125
12,2219.923110610376,1184.3700706770412,38.47550886464466,4650.703125
13,2122.874444936008,1213.169382200892,33.069856294247565,3435.694091796875
14,1499.486515274934,1376.3756436430358,38.54336238780331,4667.12109375
15,164.31257552613266,1398.546657181785,13.976913301151761,613.7230224609375
16,865.085797275203,1627.2653599658358,34.71810407269952,3786.70849609375
17,2430.3924836574884,1656.5166222031069,38.715824116884114,4708.98046875
18,1403.0740939998716,1789.0216283696982,28.827658728537862,2610.77001953125
19,1181.6416871606414,1902.7500401206569,28.14595837128134,2488.75390625
20,1868.2994180999344,2023.7907211903073,46.63855770456482,6833.451171875
21,2484.3082959463027,2050.697599939163,22.0142497096016,1522.501220703125
22,1656.5692417930952,2216.5023824621912,47.423590087544476,7065.43212890625
23,2224.6484199264823,2274.236449266185,49.156214242724786,7591.13525390625
24,2138.646461850126,2507.238224837214,36.75888143349168,4244.96826171875
25,1421.830014642444,2583.6028374319562,17.991681392405905,1016.9354248046875
26,2309.9038025572363,2778.662079936734,59.761073816192614,11219.83984375
27,1527.2026809375138,2871.2239225128733,9.709074137012877,296.145751953125
28,2437.934792848262,3022.687904611305,62.180066491327096,12146.5302734375
29,2839.7730931535966,3230.3942929110576,66.31749146475146,13816.7548828125
30,321.0994473559386,3279.065756302264,46.56006871714227,6810.47021484375
31,1909.8712146588737,3362.6053319017783,26.102969244700393,2140.5712890625
32,1232.275687077133,3421.010570229531,10.507201737950009,346.83587646484375
33,1301.3713556625344,3540.591167541105,50.458629345736206,7998.72509765625
34,1392.7686664229393,3733.998023389002,25.123326573296097,1982.915283203125
