id,x,y,r,b
1,463.5,1.2857142857142858,2.111004122822376,2016.6400146484375
2,734.0,2.0,1.2615662610100802,628.9724731445312
3,1418.6451612903227,18.258064516129032,3.141274657157109,5253.2431640625
4,1443.0,15.5,1.5957691216057308,1350.175537109375
5,1233.0,18.0,1.2615662610100802,522.259033203125
6,1429.0,22.0,1.2615662610100802,563.1064453125
7,1288.0,32.0,1.2615662610100802,440.8752746582031
8,1899.0,31.0,1.2615662610100802,893.4319458007812
9,945.5,40.0,1.5957691216057308,1422.86328125
10,1154.828125,43.828125,4.51351666838205,9568.0751953125
11,328.0,51.0,1.2615662610100802,153.77032470703125
12,992.0,52.0,1.2615662610100802,233.29501342773438
13,1108.9148936170213,55.91489361702128,3.8678889139475245,7330.83154296875
14,1955.0,55.0,2.5854414729132054,2907.188720703125
15,1216.8,59.8,2.1850968611841584,2275.706298828125
16,377.0,63.0,1.2615662610100802,336.4847412109375
17,517.0,63.0,1.2615662610100802,629.29150390625
18,2077.859756097561,73.67682926829268,7.225151993843567,22139.953125
19,584.0,68.0,1.2615662610100802,413.0360107421875
20,2096.17094017094,76.02564102564102,6.102643417692329,14116.0654296875
21,1403.0,80.0,1.2615662610100802,415.41595458984375
22,1571.6333333333334,82.63333333333334,3.0901936161855166,5038.27490234375
23,712.6470588235294,86.0,2.326213245840639,3022.42919921875
24,258.0,88.0,1.2615662610100802,661.2178955078125
25,458.0,88.0,1.2615662610100802,195.00567626953125
26,1537.6666666666667,111.0,3.656366395715726,6934.5576171875
27,1725.0,111.0,1.2615662610100802,760.77734375
28,775.0,116.0,1.2615662610100802,633.2349243164062
29,1434.0,126.0,1.2615662610100802,633.8473510742188
30,802.7894736842105,134.49122807017545,4.259537945889915,9238.416015625
31,1376.0,140.0,1.2615662610100802,908.7901611328125
32,1342.5,142.5,1.9544100476116797,1593.392578125
33,457.0,143.0,1.2615662610100802,435.60516357421875
34,664.0,145.0,1.2615662610100802,613.6694946289062
35,913.5,145.0,1.5957691216057308,971.0911254882812
36,805.0,147.64705882352942,2.326213245840639,2885.501708984375
37,78.0,150.0,1.2615662610100802,544.6098022460938
38,116.0,153.0,1.2615662610100802,861.3421020507812
39,711.6428571428571,159.21428571428572,2.111004122822376,2085.368896484375
40,158.0,159.0,1.2615662610100802,328.4705810546875
41,1312.5,159.0,1.5957691216057308,1486.9443359375
42,21.0,166.0,1.2615662610100802,195.89846801757812
43,1021.0,178.0,1.2615662610100802,376.11102294921875
44,161.0,184.0,2.5854414729132054,3437.2421875
45,1237.5,189.0,2.256758334191025,2650.3544921875
46,332.5,189.5,1.9544100476116797,1973.555908203125
47,59.0,193.0,1.2615662610100802,456.73211669921875
48,1427.2142857142858,200.64285714285714,2.111004122822376,2211.0927734375
49,45.5,204.0,1.5957691216057308,1117.322265625
50,398.0,206.0,1.2615662610100802,533.8916015625
51,2032.0,208.0,1.2615662610100802,649.7159423828125
52,1143.0,209.5,1.5957691216057308,1295.48876953125
53,233.0,214.0,1.2615662610100802,898.6290893554688
54,123.70930232558139,219.36046511627907,5.232078956954491,4894.49755859375
55,149.0,216.0,1.2615662610100802,821.1237182617188
56,256.0,221.0,1.2615662610100802,262.417724609375
57,678.0,226.0,1.2615662610100802,739.5582885742188
58,23.0,228.0,2.5854414729132054,3296.04736328125
59,836.0,231.5,2.256758334191025,2846.245361328125
60,35.0,236.0,1.2615662610100802,713.1875610351562
61,1589.0,237.0,1.2615662610100802,902.5242919921875
62,394.0,242.0,1.2615662610100802,421.1290283203125
63,1506.0,244.0,1.2615662610100802,195.3524932861328
64,1395.0,249.0,1.2615662610100802,166.50283813476562
65,442.0,252.0,1.2615662610100802,227.0370330810547
66,577.0,252.0,1.2615662610100802,273.0954895019531
67,1211.0,254.0,1.2615662610100802,535.487060546875
68,17.0,261.0,1.2615662610100802,654.26806640625
69,1433.5,263.0,1.5957691216057308,997.4801635742188
70,1261.359375,270.640625,4.51351666838205,10231.517578125
71,488.0,272.0869565217391,3.826519928662906,7814.607421875
72,290.0,274.0,1.2615662610100802,123.00011444091797
73,1891.0,280.0,1.2615662610100802,521.1812744140625
74,1955.3,280.7,1.7841241161527712,1613.6845703125
75,773.0,289.5,1.5957691216057308,1326.9554443359375
76,1688.0,294.0,1.2615662610100802,228.086669921875
77,37.5,301.5,1.9544100476116797,1685.2255859375
78,1323.0,304.0,1.2615662610100802,987.5492553710938
79,801.0,318.0,1.2615662610100802,334.4598083496094
80,386.0,319.0,1.2615662610100802,407.7605895996094
81,976.0,322.0,1.2615662610100802,206.31944274902344
82,1909.0,324.0,1.2615662610100802,205.51060485839844
83,2078.0,324.0,1.2615662610100802,628.7864990234375
84,1951.0,327.0,1.2615662610100802,324.6024169921875
85,1352.0,330.0,1.2615662610100802,442.07196044921875
86,1343.0,336.0,1.2615662610100802,135.46498107910156
87,619.5,339.0,1.5957691216057308,1151.025634765625
88,758.5,341.70588235294116,3.2897623212397704,5811.4951171875
89,988.0,340.0,1.2615662610100802,598.4370727539062
90,1897.0,340.0,1.2615662610100802,636.6202392578125
91,1923.5,342.5,1.9544100476116797,2416.17578125
92,1571.0,343.0,1.2615662610100802,190.33535766601562
93,703.0,345.0,1.2615662610100802,204.5843505859375
94,1543.0,346.0,1.2615662610100802,206.43545532226562
95,1300.0,351.0,1.2615662610100802,164.62582397460938
